"","Type","Subpopulation","Indicator","nResp","Estimate","StdError","MarginofError","LCB95Pct","UCB95Pct"
"1","BASIN","1","MMDH_BIO_ASMT_PROFILE_SCORE",8,6.75245072880331,0.241932737982324,0.474179453126521,6.27827127567679,7.22663018192983
"2","BASIN","2","MMDH_BIO_ASMT_PROFILE_SCORE",6,6.76847910848966,0.266345420228469,0.522027431094986,6.24645167739467,7.29050653958464
"3","BASIN","3","MMDH_BIO_ASMT_PROFILE_SCORE",8,5.94124591106005,0.236019343067024,0.462589412066171,5.47865649899388,6.40383532312623
"4","BASIN","4","MMDH_BIO_ASMT_PROFILE_SCORE",12,6.31245254292877,0.407185355443287,0.798068631700982,5.51438391122779,7.11052117462975
"5","BASIN","5","MMDH_BIO_ASMT_PROFILE_SCORE",8,7.1792772843571,0.254877150178029,0.499550034831143,6.67972724952595,7.67882731918824
"6","BASIN","6","MMDH_BIO_ASMT_PROFILE_SCORE",18,7.21070336285594,0.235480480162657,0.461533260181007,6.74917010267493,7.67223662303695
"7","BASIN","7","MMDH_BIO_ASMT_PROFILE_SCORE",8,4.05215793857993,0.788144137804455,1.5447341247231,2.50742381385683,5.59689206330303
"8","BASIN","8","MMDH_BIO_ASMT_PROFILE_SCORE",12,7.03006561659156,0.542948728512618,1.06415995333655,5.96590566325502,8.09422556992811
"9","BASIN","9","MMDH_BIO_ASMT_PROFILE_SCORE",13,7.15216430792512,0.337997802199924,0.662463519165544,6.48970078875958,7.81462782709066
"10","BASIN","10","MMDH_BIO_ASMT_PROFILE_SCORE",12,7.89334251959829,0.226442278062485,0.443818709579674,7.44952381001862,8.33716122917797
"11","BASIN","11","MMDH_BIO_ASMT_PROFILE_SCORE",5,7.81961297305905,0.321480508529107,0.630090218448671,7.18952275461038,8.44970319150772
"12","BASIN","12","MMDH_BIO_ASMT_PROFILE_SCORE",1,7.37,0,0,7.37,7.37
"13","BASIN","13","MMDH_BIO_ASMT_PROFILE_SCORE",13,6.06456944845896,0.500606089644204,0.98116990614407,5.08339954231489,7.04573935460303
"14","BASIN","14","MMDH_BIO_ASMT_PROFILE_SCORE",12,7.75807493500208,0.172044485043142,0.337200994423298,7.42087394057879,8.09527592942538
"15","BASIN","15","MMDH_BIO_ASMT_PROFILE_SCORE",1,2.85,0,0,2.85,2.85
"16","BASIN","17","MMDH_BIO_ASMT_PROFILE_SCORE",6,4.01822283584414,0.516991923020432,1.01328554941815,3.00493728642599,5.03150838526229
